algorithm,configuration,superpixels,data_set,category,MaxF,AvgPrec,PRE_wp,REC_wp,FPR_wp,FNR_wp
mlp,"Connection_strength: 0.5000, blur",5000,valid,um_road,95.57519548509153,95.25659593127028,93.4881591796875,97.7575454711914,1.1481707096099854,2.242459297180176
mlp,"Connection_strength: 0.5000, blur",5000,valid,umm_road,90.51512673253082,94.81455787949177,91.11666870117188,89.92147827148438,1.4697352647781372,10.078522682189941
mlp,"Connection_strength: 0.5000, blur",5000,valid,uu_road,95.63160073369129,94.37885933418758,96.01335144042969,95.25286865234375,0.7768703103065491,4.747129440307617
mlp,"Connection_strength: 0.5000, blur",5000,valid,um_road,95.57519548509153,95.25659593127028,93.4881591796875,97.7575454711914,1.1481707096099854,2.242459297180176
mlp,"Connection_strength: 0.5000, blur",5000,valid,umm_road,90.51512673253082,94.81455787949177,91.11666870117188,89.92147827148438,1.4697352647781372,10.078522682189941
mlp,"Connection_strength: 0.5000, blur",5000,valid,uu_road,95.63160073369129,94.37885933418758,96.01335144042969,95.25286865234375,0.7768703103065491,4.747129440307617
mlp,"Connection_strength: 0.5000, temperature: 1.5000, updates: 0.0",5000,valid,um_road,94.96765980880349,87.18838040215137,94.46431732177734,95.47639465332031,0.9434269666671753,4.5236077308654785
mlp,"Connection_strength: 0.5000, temperature: 1.5000, updates: 0.0",5000,valid,umm_road,91.42043266880361,79.21730386298846,93.63053894042969,89.312255859375,1.01857590675354,10.687746047973633
mlp,"Connection_strength: 0.5000, temperature: 1.5000, updates: 0.0",5000,valid,uu_road,95.4361196019724,89.4423824439945,96.74485778808594,94.16231536865234,0.6223191618919373,5.837686538696289
