algorithm,configuration,superpixels,data_set,category,MaxF,AvgPrec,PRE_wp,REC_wp,FPR_wp,FNR_wp
mlp,Connection_strength: 0.5000; temperature: 1.0000updates: 0.0,5000,valid,um_road,94.92187788618422,87.15766807305147,94.43053436279297,95.4183578491211,0.948947012424469,4.581640720367432
mlp,Connection_strength: 0.5000; temperature: 1.0000updates: 0.0,5000,valid,umm_road,91.52503250225419,79.25487899162724,93.67646789550781,89.47019958496094,1.0125234127044678,10.529799461364746
mlp,Connection_strength: 0.5000; temperature: 1.0000updates: 0.0,5000,valid,uu_road,95.35520756144264,89.3414769470687,96.63386535644531,94.10994720458984,0.6439203023910522,5.890054225921631
