algorithm,configuration,superpixels,data_set,category,MaxF,AvgPrec,PRE_wp,REC_wp,FPR_wp,FNR_wp
mlp,"Connection_strength: 0.5000, blur",5000,valid,um_road,91.07522995675752,93.90840414182418,88.5718002319336,93.72429656982422,2.0836477279663086,6.2757039070129395
mlp,"Connection_strength: 0.5000, blur",5000,valid,umm_road,92.36754348763598,91.50446129167645,89.68146514892578,95.21949005126953,3.3401970863342285,4.780506610870361
mlp,"Connection_strength: 0.5000, blur",5000,valid,uu_road,86.53333770695257,89.61547671502252,86.83541870117188,86.23334503173828,1.8470956087112427,13.76665210723877
mlp,"Connection_strength: 0.5000, blur",5000,valid,um_road,91.07522995675752,93.90840414182418,88.5718002319336,93.72429656982422,2.0836477279663086,6.2757039070129395
mlp,"Connection_strength: 0.5000, blur",5000,valid,umm_road,92.36754348763598,91.50446129167645,89.68146514892578,95.21949005126953,3.3401970863342285,4.780506610870361
mlp,"Connection_strength: 0.5000, blur",5000,valid,uu_road,86.53333770695257,89.61547671502252,86.83541870117188,86.23334503173828,1.8470956087112427,13.76665210723877
