algorithm,configuration,superpixels,data_set,category,MaxF,AvgPrec,PRE_wp,REC_wp,FPR_wp,FNR_wp
mlp,YUAN'S CONFIGURATION STRING,5000,valid,um_road,95.17313441000313,89.66880176439147,92.87767791748047,97.58493041992188,1.2618335485458374,2.4150707721710205
mlp,YUAN'S CONFIGURATION STRING,5000,valid,umm_road,88.64494983973927,89.44331950683821,81.44615936279297,97.23969268798828,3.7136788368225098,2.7603118419647217
mlp,YUAN'S CONFIGURATION STRING,5000,valid,uu_road,95.60393375981533,91.52858961377042,94.44671630859375,96.78986358642578,1.1178600788116455,3.2101385593414307
mlp,YUAN'S CONFIGURATION STRING,5000,valid,um_road,95.17313441000313,89.66880176439147,92.87767791748047,97.58493041992188,1.2618335485458374,2.4150707721710205
mlp,YUAN'S CONFIGURATION STRING,5000,valid,umm_road,88.64494983973927,89.44331950683821,81.44615936279297,97.23969268798828,3.7136788368225098,2.7603118419647217
mlp,YUAN'S CONFIGURATION STRING,5000,valid,uu_road,95.60393375981533,91.52858961377042,94.44671630859375,96.78986358642578,1.1178600788116455,3.2101385593414307
