algorithm,configuration,superpixels,data_set,category,MaxF,AvgPrec,PRE_wp,REC_wp,FPR_wp,FNR_wp
mlp,YUAN'S CONFIGURATION STRING,5000,valid,um_road,90.78755344733919,90.38362370427348,88.87154388427734,92.78800201416016,2.192397117614746,7.21199893951416
mlp,YUAN'S CONFIGURATION STRING,5000,valid,umm_road,93.69168335173012,91.37205588535164,90.98748779296875,96.5615463256836,3.0512893199920654,3.4384522438049316
mlp,YUAN'S CONFIGURATION STRING,5000,valid,uu_road,87.25496010782263,87.92101617401978,87.04727172851562,87.46363830566406,1.8059827089309692,12.536361694335938
