algorithm,configuration,superpixels,data_set,category,MaxF,AvgPrec,PRE_wp,REC_wp,FPR_wp,FNR_wp
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,train,umm_road,90.1560389854213,90.8636595948502,88.1449203491211,92.26107025146484,3.8299989700317383,7.738930702209473
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,train,uu_road,84.7208457365378,87.65783138507582,83.36221313476562,86.12449645996094,2.726059675216675,13.875503540039062
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,valid,um_road,89.75600827738796,90.53864606605063,89.42562103271484,90.08885192871094,2.0101070404052734,9.911152839660645
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,valid,umm_road,92.10017818712832,91.16059457273138,88.30721282958984,96.23359680175781,4.065025329589844,3.7664055824279785
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,valid,uu_road,85.14529551945449,87.9678348128868,86.88758850097656,83.47150421142578,1.7480071783065796,16.52849578857422
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,train,um_road,90.9788280711102,91.1029073793938,91.5694808959961,90.39574432373047,1.6810420751571655,9.60425853729248
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,train,umm_road,92.20883008171339,91.58453489244167,89.87751770019531,94.66431427001953,3.290754556655884,5.335690021514893
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,train,uu_road,86.11066021149124,88.88642813747154,86.7625503540039,85.46849822998047,2.068047046661377,14.531508445739746
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,valid,um_road,89.85277558873295,90.54585047051123,89.78009033203125,89.92557525634766,1.931546688079834,10.07442569732666
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,valid,umm_road,93.28253423409011,91.54767821435861,90.46582794189453,96.2802734375,3.237058162689209,3.7197227478027344
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,valid,uu_road,85.32836289205014,87.3361207528097,86.55632019042969,84.13475799560547,1.8133219480514526,15.865241050720215
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 15, ""min_samples_split"": 2}",15000,train,um_road,93.59109786632943,91.25325103543548,93.75391387939453,93.42884063720703,1.2572646141052246,6.571155548095703
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 15, ""min_samples_split"": 2}",15000,train,umm_road,95.21024682528514,92.04940446892839,93.65129089355469,96.82198333740234,2.02590274810791,3.17801833152771
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 15, ""min_samples_split"": 2}",15000,train,uu_road,90.085795889625,90.24234808746807,89.07093811035156,91.1240463256836,1.7732183933258057,8.875953674316406
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 15, ""min_samples_split"": 2}",15000,valid,um_road,88.84018374015878,87.5295488366481,88.44152069091797,89.24246215820312,2.2007524967193604,10.757542610168457
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 15, ""min_samples_split"": 2}",15000,valid,umm_road,91.99534037770555,90.49267352881502,91.61363983154297,92.38023376464844,2.697783946990967,7.619765281677246
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 15, ""min_samples_split"": 2}",15000,valid,uu_road,82.28806575507396,79.10721488596975,78.62118530273438,86.313720703125,3.256896495819092,13.686277389526367
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,um_road,80.91452221797815,82.2665349037382,81.7751235961914,80.07184600830078,3.6045453548431396,19.92815399169922
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,umm_road,84.18506384211389,87.06354421184031,78.37255859375,90.9288101196289,7.744900226593018,9.07119083404541
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,uu_road,76.21972067057374,79.27769894264951,82.15967559814453,71.08074188232422,2.4478139877319336,28.919252395629883
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,um_road,81.23211726942971,82.44615017806233,79.59362030029297,82.93949890136719,4.012402057647705,17.060501098632812
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,umm_road,88.18819437097456,89.7947692436453,80.6656494140625,97.25808715820312,7.436722755432129,2.741912841796875
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,uu_road,75.75854639963825,80.02672248053915,76.60624694824219,74.92940521240234,3.1751790046691895,25.070592880249023
