algorithm,configuration,model_file,data_set,train_time,predict_time,ce,classification_rate,precision,recall,f1
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 7, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/10/models/randomforest_15000sp.npz,train,65.13834118843079,3.2023799419403076,0.16985256024693385,0.93330102551146354,0.82548725710499227,0.78964578421466258,0.40358442049039517
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 7, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/10/models/randomforest_15000sp.npz,valid,65.13834118843079,0.6204230785369873,0.16171468435493377,0.94327732624715244,0.84109882268997505,0.82855375618533511,0.41738958013185945
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 10, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/11/models/randomforest_15000sp.npz,train,84.14222407341003,4.25391411781311,0.13139266668720742,0.94792224455560137,0.84899660481898154,0.85802599079375774,0.42674370854995058
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 10, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/11/models/randomforest_15000sp.npz,valid,84.14222407341003,0.7604169845581055,0.1285971123652537,0.9498659185008157,0.8485571947062639,0.8643865272154746,0.42819936071978215
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 15, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/12/models/randomforest_15000sp.npz,train,94.36066102981567,5.068776845932007,0.093218375267179271,0.96347589711061388,0.89181771557678891,0.90292747277422247,0.44866910429824336
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 15, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/12/models/randomforest_15000sp.npz,valid,94.36066102981567,0.8440589904785156,inf,0.9527104398797035,0.86462081128747792,0.86144849302744042,0.43151586848906071
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 15, ""max_depth"": 1, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/13/models/randomforest_15000sp.npz,train,27.313903093338013,3.7704360485076904,0.3862594373727265,0.82321556829031395,nan,0.0,nan
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 15, ""max_depth"": 1, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/13/models/randomforest_15000sp.npz,valid,27.313903093338013,0.6615359783172607,0.36764444389806167,0.82705310016362077,nan,0.0,nan
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 15, ""max_depth"": 2, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/14/models/randomforest_15000sp.npz,train,36.15277099609375,3.7025160789489746,0.29978605514824858,0.82321556829031395,nan,0.0,nan
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 15, ""max_depth"": 2, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/14/models/randomforest_15000sp.npz,valid,36.15277099609375,0.7475519180297852,0.2879668974647418,0.82705310016362077,nan,0.0,nan
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 15, ""max_depth"": 5, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/15/models/randomforest_15000sp.npz,train,79.52948808670044,4.509242057800293,0.20696065008510878,0.91460108178827104,0.79457780739753414,0.69717170016092211,0.37134730602333987
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 15, ""max_depth"": 5, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/15/models/randomforest_15000sp.npz,valid,79.52948808670044,0.7697100639343262,0.19510279197448085,0.93481912977095527,0.83322808600210496,0.77904295996401263,0.4026124987286227
